endstationlatitude,endstationlongitude,endstationid,endstationname,startstationid
40.7016657,-73.9437303,3067.0,Broadway & Whipple St,20215
40.701907,-74.013942,427.0,Bus Slip & State St,76367
40.70224,-73.982578,418.0,Front St & Gold St,34421
40.70255065,-74.0127234,534.0,Water - Whitehall Plaza,58006
40.70255088,-73.98940236,2000.0,Front St & Washington St,83837
40.70277159,-73.99383605,217.0,Old Fulton St,101710
40.70281858,-73.98765762,414.0,Pearl St & Anchorage Pl,53513
40.7031724,-73.940636,3068.0,Humboldt St & Varet St,22268
40.70355377,-74.00670227,315.0,South St & Gouverneur Ln,121102
40.70365182,-74.01167797,260.0,Broad St & Bridge St,44821
40.703799200000006,-74.00838676,337.0,Old Slip & Front St,59275
40.70411791,-73.94818595,3069.0,Lorimer St & Broadway,12439
40.70463334,-74.01361706,304.0,Broadway & Battery Pl,156603
40.7047177,-74.00926027,415.0,Pearl St & Hanover Square,74529
40.70510918,-73.94407279,3070.0,McKibbin St & Manhattan Ave,12995
40.70530954,-74.00612572,351.0,Front St & Maiden Ln,72822
40.70531194,-73.97100056,2005.0,Railroad Ave & Kay Ave,4346
40.70538077,-73.94976519,3071.0,Boerum St & Broadway,16512
40.70569254,-74.01677685,2008.0,Little West St & 1 Pl,150702
40.70583339,-73.94644578,3072.0,Leonard St & Boerum St,13590
40.70684203101325,-73.9544353965357,3714.0,Division Av & Hooper St,607
40.70691254,-73.95441667,3073.0,Division Ave & Hooper St,13498
40.70706456,-74.00731853,264.0,Maiden Ln & Pearl St,66755
40.70708701,-73.95796783,3075.0,Division Ave & Marcy Ave,7783
40.70717936,-74.00887308,360.0,William St & Pine St,63172
40.7076449441757,-73.96841526031494,282.0,Kent Ave & S 11 St,47932
40.70767788,-73.94016171,3074.0,Montrose Ave & Bushwick Ave,35859
40.707731483954696,-73.93452286720277,3636.0,Expansion Warehouse 333 Johnson Ave,23
40.707873,-74.00166999999999,279.0,Peck Slip & Front St,106168
40.70823502,-74.00530063,306.0,Cliff St & Fulton St,50586
40.70823502,-74.00530063,306.0,Cliff St & Fulton St_1,14996
40.70827295,-73.96834101,282.0,Kent Ave & S 11 St,1902
40.70831794366396,-74.0050408244133,3701.0,Cliff St & Fulton St,12137
40.70834698,-74.01713445,363.0,West Thames St,116010
40.70853074,-73.96408963,443.0,Bedford Ave & S 9 St,11242
40.70861098096821,-73.92850399017334,3266.0,Kiosk in a box Deployment,6
40.70862144,-74.00722156,376.0,John St & William St,67500
40.70870368,-73.9448625,3076.0,Scholes St & Manhattan Ave,25081
40.70877084,-73.95095259,3077.0,Stagg St & Union Ave,34236
40.70905623,-74.01043382,195.0,Liberty St & Broadway,116593
40.70924826276157,-73.96063148975372,3078.0,Broadway & Roebling St,29142
40.70925562,-73.95982218,3078.0,Broadway & Roebling St,12766
40.709340000000005,-73.95608,3080.0,S 4 St & Rodney St,26370
40.70955958,-74.00653609,316.0,Fulton St & William St,61733
40.70965083364061,-74.0686011314392,3426.0,JCBS Depot,1
40.710108700000006,-74.0858489,3188.0,NJCU,1
40.71015471094912,-73.98453533649443,3683.0,Smart Cities Conference,78
40.71036854235229,-73.94705951213838,3454.0,Leonard St & Maujer St,16480
40.71044554,-73.96525063,389.0,Broadway & Berry St,53983
40.710451,-73.960876,532.0,S 5 Pl & S 4 St,62891
40.710451,-73.960876,532.0,S 5 Pl & S 5 St,33893
40.710699946313866,-74.00354146957396,3489.0,Gold St & Frankfort St,17706
40.71076228,-73.99400398,408.0,Market St & Cherry St,49617
40.71103537,-73.94714303,3079.0,Leonard St & Grand St,7605
40.711065999999995,-74.009447,319.0,Fulton St & Broadway,105291
40.71117416,-74.00016545,82.0,St James Pl & Pearl St,31647
40.71117444,-73.99682619,2009.0,Catherine St & Monroe St,62076
40.711242299999995,-74.0557013,3192.0,Liberty Light Rail,37
40.71146364,-74.00552427,224.0,Spruce St & Nassau St,29238
40.711512,-74.01575600000001,3002.0,South End Ave & Liberty St,223413
40.71167351,-73.95141312,3082.0,Hope St & Union Ave,39475
40.71173107,-73.99193043,331.0,Pike St & Monroe St,46953
40.711863,-73.944024,3081.0,Graham Ave & Grand St,24483
40.71219906,-73.97948148,332.0,Cherry St,50203
40.7124188237569,-74.03852552175522,3267.0,Morris Canal,48
40.71247661,-73.94100005,3083.0,Bushwick Ave & Powers St,28064
40.71260486,-73.96264403,481.0,S 3 St & Bedford Ave,53800
40.71269042,-73.98776323,340.0,Madison St & Clinton St,55468
40.71273266,-74.0046073,387.0,Centre St & Chambers St,202737
40.712774200000005,-74.03648570000001,3214.0,Essex Light Rail,62
40.71285887,-73.96590294,460.0,S 4 St & Wythe Ave,87719
40.71286844,-73.95698119,471.0,Grand St & Havemeyer St,47007
40.71291224,-74.01020234,417.0,Barclay St & Church St,148824
40.71307916,-73.99851193,308.0,St James Pl & Oliver St,66405
40.713126,-73.984844,291.0,Madison St & Montgomery St,46764
40.71334184275907,-74.00935515761375,3690.0,Park Pl & Church St,9350
40.71335226222875,-73.9491033554077,3453.0,Devoe St & Lorimer St,22109
40.71346382669195,-74.06285852193831,3268.0,Lafayette Park,3
40.71348658,-73.94792458,3084.0,Devoe St & Leonard St,6640
40.71406667,-73.99293911,295.0,Pike St & E Broadway,77357
40.71413089,-73.99704679999999,296.0,Division St & Bowery,92437
40.71413311,-73.95234386,3087.0,Metropolitan Ave & Meeker Ave,44270
40.7141454,-74.0335519,3184.0,Paulus Hook,64
40.714215,-73.981346,502.0,Henry St & Grand St,91249
40.71427487,-73.98990025,307.0,Canal St & Rutgers St,133930
40.71435836870427,-74.06661093235016,3277.0,Communipaw & Berry Lane,2
40.71450451,-74.00562789,330.0,Reade St & Broadway,73258
40.71458403535893,-74.04281705617905,3276.0,Marin Light Rail,27
40.714690000000004,-73.95739,3085.0,Roebling St & N 4 St,32040
40.71473993,-74.00910627,152.0,Warren St & Church St,52460
40.714824504192755,-74.04298067092896,3276.0,Marin Light Rail,1
40.71485150526252,-74.01122331619263,3461.0,Murray St & Greenwich St,57660
40.71494807,-74.00234482,386.0,Centre St & Worth St,77544
40.7149787,-74.013012,309.0,Murray St & West St,99074
40.715143,-73.944507,3086.0,Graham Ave & Conselyea St,57226
40.71517767732029,-74.03768330812454,3681.0,Grand St,3
40.715337899999994,-74.01658354,327.0,Vesey Pl & River Terrace,194401
