,startstationid,startstationname
627,3377.0,Carroll St & Bond St
628,3378.0,E 76 St & Park Ave
629,3379.0,E 103 St & Lexington Ave
630,3381.0,3 St & Hoyt St
631,3382.0,Carroll St & Smith St
632,3383.0,Cathedral Pkwy & Broadway
633,3384.0,Smith St & 3 St
634,3385.0,2 Ave & E 105 St
635,3386.0,1 Pl & Clinton St
636,3387.0,E 106 St & Madison Ave
637,3388.0,President St & Henry St
638,3389.0,Carroll St & Columbia St
639,3390.0,E 109 St & 3 Ave
640,3391.0,E 106 St & 1 Ave
641,3392.0,Commerce St & Van Brunt St
642,3393.0,Richards St & Delavan St
643,3394.0,Columbia St & W 9 St
644,3395.0,Henry St & W 9 St
645,3395.0,Henry St & W 9 St [old]
646,3396.0,Clinton St & 4 Place
647,3397.0,Court St & Nelson St
648,3398.0,Smith St & 9 St
649,3399.0,7 St & 3 Ave
650,3400.0,E 110 St & Madison Ave
651,3401.0,2 Ave & 9 St
652,3402.0,Court St & State St
653,3403.0,4 Ave & 9 St
654,3404.0,7 St & 5 Ave
655,3405.0,5 St & 6 Ave
656,3407.0,Union St & Nevins St
657,3408.0,Congress St & Clinton St
658,3409.0,Bergen St & Smith St
659,3410.0,Dean St & Hoyt St
660,3411.0,Bond St & Bergen St
661,3412.0,Pacific St & Nevins St
662,3413.0,Wyckoff St & 3 Ave
663,3414.0,Bergen St & Flatbush Ave
664,3415.0,Prospect Pl & 6 Ave
665,3416.0,7 Ave & Park Pl
666,3417.0,Baltic St & 5 Ave
667,3418.0,Plaza St West & Flatbush Ave
668,3419.0,Douglass St & 4 Ave
669,3420.0,Douglass St & 3 Ave
670,3421.0,Hoyt St & Warren St
671,3422.0,Columbia St & Degraw St
672,3423.0,West Drive & Prospect Park West
673,3424.0,E 106 St & Lexington Ave
674,3425.0,2 Ave  & E 104 St
675,3425.0,2 Ave & E 104 St
676,3427.0,Lafayette St & Jersey St
677,3428.0,8 Ave & W 16 St
678,3429.0,Hanson Pl & Ashland Pl
679,3430.0,Richardson St & N Henry St
680,3431.0,E 35 St & 3 Ave
681,3432.0,Bike in Movie Night | Prospect Park Bandshell
682,3432.0,NYCBS Depot - GOW
683,3434.0,W 88 St & West End Ave
684,3435.0,Grand St & Elizabeth St
685,3436.0,Greenwich St & Hubert St
686,3437.0,Riverside Dr & W 91 St
687,3438.0,E 76 St & 3 Ave
688,3440.0,Fulton St & Adams St
689,3441.0,10 Hudson Yards
690,3443.0,W 52 St & 6 Ave
691,3445.0,Riverside Dr & W 89 St
692,3446.0,NYCBS Depot - STY - Valet Scan
693,3447.0,E 71 St & 1 Ave
694,3449.0,Eckford St & Engert Ave
695,3450.0,Penn Station Valet - Valet Scan
696,3452.0,Bayard St & Leonard St
697,3453.0,Devoe St & Lorimer St
698,3454.0,Leonard St & Maujer St
699,3455.0,Schermerhorn St & 3 Ave
700,3456.0,Jackson St & Leonard St
701,3457.0,E 58 St & Madison Ave
702,3458.0,W 55 St & 6 Ave
703,3459.0,E 53 St & 3 Ave
704,3461.0,Murray St & Greenwich St
705,3462.0,E 44 St & 2 Ave
706,3463.0,E 16 St & Irving Pl
707,3464.0,W 37 St & Broadway
708,3466.0,W 45 St & 6 Ave
709,3466.0,W 45 St & 6 Ave (OLD)
710,3467.0,W Broadway & Spring Street
711,3468.0,NYCBS Depot - STY - Garage 4
712,3469.0,India St & West St
713,3470.0,Expansion Tech Station
714,3470.0,Gowanus Tech Station
715,3472.0,W 15 St & 10 Ave
716,3474.0,6 Ave & Spring St
717,3476.0,Norman Ave & Leonard St
718,3477.0,39 St & 2 Ave - Citi Bike HQ at Industry City
